Defaulting to user installation because normal site-packages is not writeable
Requirement already satisfied: pyDOE in /home/selfetni/.local/lib/python3.10/site-packages (0.3.8)
Requirement already satisfied: numpy in /home/selfetni/.local/lib/python3.10/site-packages (from pyDOE) (1.24.1)
Requirement already satisfied: scipy in /home/selfetni/.local/lib/python3.10/site-packages (from pyDOE) (1.10.1)
2023-08-27 05:35:25.960580: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2023-08-27 05:35:25.982709: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2023-08-27 05:35:25.982994: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2023-08-27 05:35:26.402701: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
2023-08-27 05:37:36.554900: E tensorflow/compiler/xla/stream_executor/cuda/cuda_driver.cc:268] failed call to cuInit: CUDA_ERROR_COMPAT_NOT_SUPPORTED_ON_DEVICE: forward compatibility was attempted on non supported HW
2023-08-27 05:37:36.554945: I tensorflow/compiler/xla/stream_executor/cuda/cuda_diagnostics.cc:168] retrieving CUDA diagnostic information for host: WS8692.zit.bam.de
2023-08-27 05:37:36.554954: I tensorflow/compiler/xla/stream_executor/cuda/cuda_diagnostics.cc:175] hostname: WS8692.zit.bam.de
2023-08-27 05:37:36.555072: I tensorflow/compiler/xla/stream_executor/cuda/cuda_diagnostics.cc:199] libcuda reported version is: 525.125.6
2023-08-27 05:37:36.555091: I tensorflow/compiler/xla/stream_executor/cuda/cuda_diagnostics.cc:203] kernel reported version is: 515.105.1
2023-08-27 05:37:36.555097: E tensorflow/compiler/xla/stream_executor/cuda/cuda_diagnostics.cc:312] kernel version 515.105.1 does not match DSO version 525.125.6 -- cannot find working devices in this configuration
X_f_train: (250000000, 4), X_ini_all: (40804, 4), X_lb_train: (100000, 3), X_ub_train: (100000, 3), X_ltb_train: (100000, 3), X_rtb_train: (100000, 3), phi_ini_all: (40804, 1)

 ! Initilization of all workers pinns 


 -------------------------------------------------------------
  -----  Epoch: 0 <==> N_batches: 100, pinns: 100    -------
  ----- time domain:  t_min: 0.00000, t_max: 0.00100
--------------------------------------------------------------


==> Epoch: 0, Mean_loss of pinns: 7.757e-02, loss_BC: 0.000e+00, loss_IC: 7.757e-02, loss_f: 0.000e+00
 => minimum loss: 5.597e-02, corresponding pinn/batch index: 22
 => maximum loss: 1.021e-01, corresponding pinn/batch  index: 92

==> Epoch: 10, Mean_loss of pinns: 7.555e-02, loss_BC: 0.000e+00, loss_IC: 7.555e-02, loss_f: 0.000e+00
 => minimum loss: 5.540e-02, corresponding pinn/batch index: 45
 => maximum loss: 9.859e-02, corresponding pinn/batch  index: 92
 => In : Number of pinns to train: 32
 => Out : Number of pinns above Threshold: 32
pinns above Threshold: 2, 7, 12, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 35, 45, 55, 65, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 87, 92, 97

==> Epoch: 20, Mean_loss of pinns: 7.367e-02, loss_BC: 0.000e+00, loss_IC: 7.367e-02, loss_f: 0.000e+00
 => minimum loss: 5.430e-02, corresponding pinn/batch index: 45
 => maximum loss: 9.527e-02, corresponding pinn/batch  index: 92
 => In : Number of pinns to train: 32
 => Out : Number of pinns above Threshold: 32
pinns above Threshold: 2, 7, 12, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 35, 45, 55, 65, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 87, 92, 97

==> Epoch: 30, Mean_loss of pinns: 7.194e-02, loss_BC: 0.000e+00, loss_IC: 7.194e-02, loss_f: 0.000e+00
 => minimum loss: 5.331e-02, corresponding pinn/batch index: 45
 => maximum loss: 9.218e-02, corresponding pinn/batch  index: 92
 => In : Number of pinns to train: 32
 => Out : Number of pinns above Threshold: 32
pinns above Threshold: 2, 7, 12, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 35, 45, 55, 65, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 87, 92, 97

==> Epoch: 40, Mean_loss of pinns: 7.037e-02, loss_BC: 0.000e+00, loss_IC: 7.037e-02, loss_f: 0.000e+00
 => minimum loss: 5.243e-02, corresponding pinn/batch index: 45
 => maximum loss: 8.933e-02, corresponding pinn/batch  index: 92
 => In : Number of pinns to train: 32
 => Out : Number of pinns above Threshold: 32
pinns above Threshold: 2, 7, 12, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 35, 45, 55, 65, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 87, 92, 97

==> Epoch: 50, Mean_loss of pinns: 6.895e-02, loss_BC: 0.000e+00, loss_IC: 6.895e-02, loss_f: 0.000e+00
 => minimum loss: 5.166e-02, corresponding pinn/batch index: 45
 => maximum loss: 8.716e-02, corresponding pinn/batch  index: 23
 => In : Number of pinns to train: 32
 => Out : Number of pinns above Threshold: 32
pinns above Threshold: 2, 7, 12, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 35, 45, 55, 65, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 87, 92, 97

 !!! Scipy optimize: !!! - Epoch:  51
Processes:  16
Number of pinns to optimize weights:  32
 !!! pinns to optimize ==> 2, 7, 12, 17, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 35, 45, 55, 65, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 82, 87, 92, 97


pinn: 7, Iter: 100, total_loss: 6.049e-02, loss_BC: 0.000e+00, loss_IC: 6.049e-02,loss_f: 0.000e+00
pinn: 21, Iter: 100, total_loss: 1.053e-01, loss_BC: 0.000e+00, loss_IC: 1.053e-01,loss_f: 0.000e+00
pinn: 20, Iter: 100, total_loss: 4.952e-02, loss_BC: 0.000e+00, loss_IC: 4.952e-02,loss_f: 0.000e+00
pinn: 45, Iter: 100, total_loss: 5.012e-02, loss_BC: 0.000e+00, loss_IC: 5.012e-02,loss_f: 0.000e+00
pinn: 35, Iter: 100, total_loss: 3.728e-02, loss_BC: 0.000e+00, loss_IC: 3.728e-02,loss_f: 0.000e+00
pinn: 25, Iter: 100, total_loss: 4.332e-02, loss_BC: 0.000e+00, loss_IC: 4.332e-02,loss_f: 0.000e+00
pinn: 26, Iter: 100, total_loss: 5.629e-02, loss_BC: 0.000e+00, loss_IC: 5.629e-02,loss_f: 0.000e+00
pinn: 28, Iter: 100, total_loss: 2.659e-01, loss_BC: 0.000e+00, loss_IC: 2.659e-01,loss_f: 0.000e+00
pinn: 27, Iter: 100, total_loss: 5.989e-02, loss_BC: 0.000e+00, loss_IC: 5.989e-02,loss_f: 0.000e+00
pinn: 12, Iter: 100, total_loss: 3.818e-02, loss_BC: 0.000e+00, loss_IC: 3.818e-02,loss_f: 0.000e+00
pinn: 2, Iter: 100, total_loss: 3.976e-02, loss_BC: 0.000e+00, loss_IC: 3.976e-02,loss_f: 0.000e+00
pinn: 22, Iter: 100, total_loss: 4.463e-02, loss_BC: 0.000e+00, loss_IC: 4.463e-02,loss_f: 0.000e+00
pinn: 24, Iter: 100, total_loss: 1.834e-02, loss_BC: 0.000e+00, loss_IC: 1.834e-02,loss_f: 0.000e+00
pinn: 17, Iter: 100, total_loss: 4.505e-02, loss_BC: 0.000e+00, loss_IC: 4.505e-02,loss_f: 0.000e+00
pinn: 23, Iter: 100, total_loss: 5.640e-02, loss_BC: 0.000e+00, loss_IC: 5.640e-02,loss_f: 0.000e+00
pinn: 29, Iter: 100, total_loss: 4.074e-02, loss_BC: 0.000e+00, loss_IC: 4.074e-02,loss_f: 0.000e+00
pinn: 21, Iter: 200, total_loss: 1.083e-03, loss_BC: 0.000e+00, loss_IC: 1.083e-03,loss_f: 0.000e+00
pinn: 25, Iter: 200, total_loss: 1.970e-02, loss_BC: 0.000e+00, loss_IC: 1.970e-02,loss_f: 0.000e+00
pinn: 2, Iter: 200, total_loss: 2.338e-04, loss_BC: 0.000e+00, loss_IC: 2.338e-04,loss_f: 0.000e+00
pinn: 17, Iter: 200, total_loss: 3.321e-04, loss_BC: 0.000e+00, loss_IC: 3.321e-04,loss_f: 0.000e+00
pinn: 29, Iter: 200, total_loss: 7.026e-04, loss_BC: 0.000e+00, loss_IC: 7.026e-04,loss_f: 0.000e+00
pinn: 27, Iter: 200, total_loss: 3.745e-02, loss_BC: 0.000e+00, loss_IC: 3.745e-02,loss_f: 0.000e+00
pinn: 20, Iter: 200, total_loss: 1.995e-02, loss_BC: 0.000e+00, loss_IC: 1.995e-02,loss_f: 0.000e+00
pinn: 45, Iter: 200, total_loss: 1.695e-03, loss_BC: 0.000e+00, loss_IC: 1.695e-03,loss_f: 0.000e+00
pinn: 24, Iter: 200, total_loss: 4.044e-03, loss_BC: 0.000e+00, loss_IC: 4.044e-03,loss_f: 0.000e+00
pinn: 23, Iter: 200, total_loss: 1.528e-01, loss_BC: 0.000e+00, loss_IC: 1.528e-01,loss_f: 0.000e+00
pinn: 7, Iter: 200, total_loss: 3.364e-02, loss_BC: 0.000e+00, loss_IC: 3.364e-02,loss_f: 0.000e+00
pinn: 12, Iter: 200, total_loss: 3.390e-03, loss_BC: 0.000e+00, loss_IC: 3.390e-03,loss_f: 0.000e+00
pinn: 35, Iter: 200, total_loss: 4.516e-03, loss_BC: 0.000e+00, loss_IC: 4.516e-03,loss_f: 0.000e+00
pinn: 26, Iter: 200, total_loss: 7.624e-02, loss_BC: 0.000e+00, loss_IC: 7.624e-02,loss_f: 0.000e+00
pinn: 28, Iter: 200, total_loss: 9.165e-03, loss_BC: 0.000e+00, loss_IC: 9.165e-03,loss_f: 0.000e+00
pinn: 22, Iter: 200, total_loss: 3.256e-02, loss_BC: 0.000e+00, loss_IC: 3.256e-02,loss_f: 0.000e+00
pinn: 21, Iter: 300, total_loss: 3.445e-04, loss_BC: 0.000e+00, loss_IC: 3.445e-04,loss_f: 0.000e+00
pinn: 2, Iter: 300, total_loss: 1.142e-04, loss_BC: 0.000e+00, loss_IC: 1.142e-04,loss_f: 0.000e+00
pinn: 17, Iter: 300, total_loss: 1.390e-04, loss_BC: 0.000e+00, loss_IC: 1.390e-04,loss_f: 0.000e+00
pinn: 25, Iter: 300, total_loss: 1.136e-02, loss_BC: 0.000e+00, loss_IC: 1.136e-02,loss_f: 0.000e+00
pinn: 45, Iter: 300, total_loss: 1.590e-04, loss_BC: 0.000e+00, loss_IC: 1.590e-04,loss_f: 0.000e+00
pinn: 29, Iter: 300, total_loss: 3.227e-04, loss_BC: 0.000e+00, loss_IC: 3.227e-04,loss_f: 0.000e+00
pinn: 20, Iter: 300, total_loss: 2.506e-03, loss_BC: 0.000e+00, loss_IC: 2.506e-03,loss_f: 0.000e+00
pinn: 26, Iter: 300, total_loss: 3.252e-04, loss_BC: 0.000e+00, loss_IC: 3.252e-04,loss_f: 0.000e+00
pinn: 35, Iter: 300, total_loss: 5.961e-05, loss_BC: 0.000e+00, loss_IC: 5.961e-05,loss_f: 0.000e+00
pinn: 27, Iter: 300, total_loss: 2.447e-02, loss_BC: 0.000e+00, loss_IC: 2.447e-02,loss_f: 0.000e+00
pinn: 24, Iter: 300, total_loss: 3.540e-03, loss_BC: 0.000e+00, loss_IC: 3.540e-03,loss_f: 0.000e+00
pinn: 7, Iter: 300, total_loss: 4.577e-03, loss_BC: 0.000e+00, loss_IC: 4.577e-03,loss_f: 0.000e+00
pinn: 12, Iter: 300, total_loss: 4.521e-04, loss_BC: 0.000e+00, loss_IC: 4.521e-04,loss_f: 0.000e+00
pinn: 28, Iter: 300, total_loss: 1.218e-03, loss_BC: 0.000e+00, loss_IC: 1.218e-03,loss_f: 0.000e+00
pinn: 22, Iter: 300, total_loss: 2.760e-02, loss_BC: 0.000e+00, loss_IC: 2.760e-02,loss_f: 0.000e+00
pinn: 23, Iter: 300, total_loss: 9.922e-03, loss_BC: 0.000e+00, loss_IC: 9.922e-03,loss_f: 0.000e+00
pinn: 21, Iter: 400, total_loss: 2.540e-04, loss_BC: 0.000e+00, loss_IC: 2.540e-04,loss_f: 0.000e+00
pinn: 45, Iter: 400, total_loss: 1.453e-04, loss_BC: 0.000e+00, loss_IC: 1.453e-04,loss_f: 0.000e+00
pinn: 17, Iter: 400, total_loss: 1.245e-04, loss_BC: 0.000e+00, loss_IC: 1.245e-04,loss_f: 0.000e+00
pinn: 25, Iter: 400, total_loss: 9.835e-03, loss_BC: 0.000e+00, loss_IC: 9.835e-03,loss_f: 0.000e+00
pinn: 2, Iter: 400, total_loss: 8.881e-05, loss_BC: 0.000e+00, loss_IC: 8.881e-05,loss_f: 0.000e+00
pinn: 29, Iter: 400, total_loss: 2.776e-04, loss_BC: 0.000e+00, loss_IC: 2.776e-04,loss_f: 0.000e+00
